	s	c	o	f	n
GCF_000010085.1_ASM1008v1_protein.faa.named.faa	0.03	0.03	0.23	0.18	0.44
GCF_000517565.1_ASM51756v1_protein.faa.named.faa	0.35	0.1	0.13	0.56	0.51
GCF_001190745.1_ASM119074v1_protein.faa.named.faa	0.33	0.08	0.2	0.69	0.45
GCF_001664085.1_ASM166408v1_protein.faa.named.faa	0.26	0.08	0.61	0.36	0.79
GCF_000008045.1_ASM804v1_protein.faa.named.faa	0.0	0.01	0.17	0.38	0.29
GCF_000023705.1_ASM2370v1_protein.faa.named.faa	0.13	0.19	0.36	0.64	0.64
GCF_000341385.1_ASM34138v1_protein.faa.named.faa	0.06	0.01	0.15	0.24	0.38
GCF_000512895.1_ASM51289v1_protein.faa.named.faa	0.3	0.16	0.11	0.16	0.4
GCF_000299355.1_ASM29935v1_protein.faa.named.faa	0.1	0.06	0.29	0.02	0.33
GCF_000006885.1_ASM688v1_protein.faa.named.faa	0.18	0.03	0.05	0.06	0.1
GCF_000022265.1_ASM2226v1_protein.faa.named.faa	0.32	0.13	0.41	0.75	0.68
GCF_000009145.1_ASM914v1_protein.faa.named.faa	0.28	0.02	0.27	0.71	0.62
GCF_000018305.1_ASM1830v1_protein.faa.named.faa	0.37	0.05	0.13	0.22	0.38
GCF_000281695.1_ASM28169v1_protein.faa.named.faa	0.09	0.12	0.22	0.12	0.54
GCF_000013905.1_ASM1390v1_protein.faa.named.faa	0.06	0.04	0.22	0.38	0.59
GCF_000723165.1_JAG1_protein.faa.named.faa	0.15	0.04	0.35	0.51	0.75
GCF_000252445.1_ASM25244v1_protein.faa.named.faa	0.08	0.04	0.45	0.31	0.69
GCF_000024025.1_ASM2402v1_protein.faa.named.faa	0.06	0.03	0.32	0.26	0.74
GCF_000828615.1_ASM82861v1_protein.faa.named.faa	0.51	0.06	0.3	0.8	0.66
GCF_000009425.1_ASM942v1_protein.faa.named.faa	0.03	0.02	0.18	0.06	0.17
GCF_000165925.1_ASM16592v1_protein.faa.named.faa	0.12	0.01	0.32	0.33	0.57
GCF_001262075.1_ASM126207v1_protein.faa.named.faa	0.25	0.05	0.22	0.48	0.48
GCF_000725425.1_ASM72542v1_protein.faa.named.faa	0.51	0.09		0.05	0.3
GCF_000025405.2_ASM2540v1_protein.faa.named.faa	0.1	0.04	0.31	0.5	0.63
GCF_000222305.1_ASM22230v1_protein.faa.named.faa	0.13	0.03	0.05	0.27	0.03
GCF_001518835.1_ASM151883v1_protein.faa.named.faa	0.15	0.07	0.2	0.19	0.62
GCF_000292685.1_ASM29268v1_protein.faa.named.faa	0.16	0.02	0.12	0.09	0.27
GCF_001644685.1_ASM164468v1_protein.faa.named.faa	0.25	0.21	0.77	0.4	0.74
GCF_000577895.1_M2_40_protein.faa.named.faa	0.22	0.08	0.45	0.09	0.39
GCF_000015645.1_ASM1564v1_protein.faa.named.faa	0.13	0.06	0.7	0.33	0.49
GCF_000250635.1_ASM25063v1_protein.faa.named.faa	0.19	0.17	0.21	0.53	0.31
GCF_001293165.1_ASM129316v1_protein.faa.named.faa	0.6	0.05	0.3	0.66	0.6
GCF_001433715.1_ASM143371v1_protein.faa.named.faa	0.18	0.02	0.41	0.63	0.55
GCF_000022065.1_ASM2206v1_protein.faa.named.faa	0.17	0.1	0.16	0.09	0.35
GCF_000043285.1_ASM4328v1_protein.faa.named.faa	0.13	0.03	0.29	0.09	0.36
GCF_000819445.1_ASM81944v1_protein.faa.named.faa	0.47	0.18	0.29	0.31	0.38
GCF_000023045.1_ASM2304v1_protein.faa.named.faa	0.04	0.0	0.26	0.34	0.39
GCF_000014665.1_ASM1466v1_protein.faa.named.faa	0.17	0.05	0.26	0.96	0.5
GCF_000013125.1_ASM1312v1_protein.faa.named.faa	0.04	0.02	0.12	0.33	0.3
GCF_001274875.1_ASM127487v1_protein.faa.named.faa	0.1	0.07	0.01	0.02	0.01
GCF_001640865.1_ASM164086v1_protein.faa.named.faa	0.01	0.09	0.08	0.16	0.36
GCF_000191545.1_ASM19154v1_protein.faa.named.faa	0.18	0.01	0.1	0.37	0.09
GCF_000758565.1_ASM75856v1_protein.faa.named.faa	0.14	0.05	0.53	0.37	0.61
GCF_000196675.1_ASM19667v1_protein.faa.named.faa	0.12	0.04	0.31	0.24	0.73
GCF_001412535.1_ASM141253v1_protein.faa.named.faa	0.03	0.12	0.57	0.48	0.75
GCF_000214435.1_ASM21443v1_protein.faa.named.faa	0.64	0.14	0.43	0.45	0.51
GCF_000165715.2_ASM16571v3_protein.faa.named.faa	0.15	0.16	0.33	0.55	0.56
GCF_000981805.1_ASM98180v1_protein.faa.named.faa	0.16	0.09	0.28	0.72	0.66
GCF_000011545.1_ASM1154v1_protein.faa.named.faa	0.19	0.04	0.4	0.56	0.74
GCF_000178975.2_ASM17897v2_protein.faa.named.faa	0.13	0.02	0.35	0.4	0.72
GCF_001584185.1_ASM158418v1_protein.faa.named.faa	0.03	0.05	0.41	0.37	0.73
GCF_000737515.1_ASM73751v1_protein.faa.named.faa	0.16	0.01	0.27	0.5	0.61
GCF_000016545.1_ASM1654v1_protein.faa.named.faa	0.23	0.14	0.38	0.04	0.41
GCF_000010525.1_ASM1052v1_protein.faa.named.faa	0.09	0.06	0.68	0.49	0.78
GCF_000400955.1_ASM40095v1_protein.faa.named.faa	0.07	0.01	0.02	0.02	0.02
GCF_000010125.1_ASM1012v1_protein.faa.named.faa	0.04	0.03	0.28	0.11	0.33
GCF_000178115.2_ASM17811v2_protein.faa.named.faa	0.05	0.08	0.31	0.14	0.31
GCF_001187845.1_ASM118784v1_protein.faa.named.faa	0.14	0.07	0.33	0.38	0.69
GCF_000016205.1_ASM1620v1_protein.faa.named.faa	0.03	0.09	0.65	0.45	0.83
GCF_001652565.1_ASM165256v1_protein.faa.named.faa	0.21	0.05	0.35	0.75	0.76
GCF_000017545.1_ASM1754v1_protein.faa.named.faa	0.05	0.03		0.08	0.29
GCF_000014085.1_ASM1408v1_protein.faa.named.faa	0.16	0.03	0.32	0.44	0.71
GCF_000016405.1_ASM1640v1_protein.faa.named.faa	0.24	0.1	0.59	0.82	0.82
GCF_000332735.1_ASM33273v1_protein.faa.named.faa	0.13	0.01	0.25	0.2	0.41
GCF_001042405.1_ASM104240v1_protein.faa.named.faa	0.18	0.01	0.07	0.11	0.07
GCF_000317575.1_ASM31757v1_protein.faa.named.faa	0.14	0.08	0.65	0.37	0.73
GCF_000196495.1_ASM19649v1_protein.faa.named.faa	0.05	0.03	0.31	0.78	0.51
GCF_000230975.2_ASM23097v3_protein.faa.named.faa	0.19	0.18	0.31	0.4	0.71
GCF_001185205.1_ASM118520v1_protein.faa.named.faa	0.03	0.04	0.35	0.35	0.66
GCF_000023025.1_ASM2302v1_protein.faa.named.faa	0.0	0.05	0.71	0.44	0.64
GCF_000698865.1_ASM69886v1_protein.faa.named.faa	0.09	0.04	0.39	0.42	0.72
GCF_000023125.1_ASM2312v1_protein.faa.named.faa	0.01	0.04	0.33	0.36	0.7
GCF_001042695.1_ASM104269v1_protein.faa.named.faa	0.02	0.08	0.07	0.01	0.08
GCF_000007365.1_ASM736v1_protein.faa.named.faa	0.14	0.02	0.14	0.1	0.27
GCF_000020565.1_ASM2056v1_protein.faa.named.faa	0.01	0.02	0.02	0.06	0.19
GCF_000091325.1_ASM9132v1_protein.faa.named.faa	0.08	0.05	0.27	0.86	0.61
GCF_000164675.2_ASM16467v2_protein.faa.named.faa	0.2	0.08	0.03	0.08	0.06
GCF_000525675.1_ASM52567v1_protein.faa.named.faa	0.01	0.0	0.11	0.39	0.45
GCF_000027185.1_ASM2718v1_protein.faa.named.faa	0.16	0.0	0.12	0.08	0.13
GCF_000017865.1_ASM1786v1_protein.faa.named.faa	0.08	0.02		0.05	0.25
GCF_000092385.1_ASM9238v1_protein.faa.named.faa	0.13	0.03	0.31	0.27	0.7
GCF_000008305.1_ASM830v1_protein.faa.named.faa	0.12	0.12		0.03	0.02
GCF_000953195.1_Acholeplasma_oculi_strain_19L_protein.faa.named.faa	0.02	0.08	0.03	0.11	0.1
GCF_000191045.1_ASM19104v1_protein.faa.named.faa	0.51	0.14	0.19	0.45	0.44
GCF_000092025.1_ASM9202v1_protein.faa.named.faa	0.33	0.03	0.35	0.75	0.71
GCF_001586165.1_ASM158616v1_protein.faa.named.faa	0.08	0.05	0.24	0.55	0.62
GCF_000263735.1_ASM26373v1_protein.faa.named.faa	0.44	0.09	0.13	0.01	0.33
GCF_000013325.1_ASM1332v1_protein.faa.named.faa	0.16	0.03	0.33	0.67	0.68
GCF_000026105.1_ASM2610v1_protein.faa.named.faa	0.03	0.05	0.41	0.49	0.7
GCF_000012865.1_ASM1286v1_protein.faa.named.faa	0.53	0.16	0.13	0.43	0.48
GCF_000196855.1_ASM19685v1_protein.faa.named.faa	0.09	0.0	0.08	0.05	0.07
GCF_001548015.1_ASM154801v1_protein.faa.named.faa	0.08	0.2	0.65	0.62	0.78
GCF_000764555.1_ASM76455v1_protein.faa.named.faa	0.16	0.03	0.11	0.16	0.37
GCF_001432245.1_ASM143224v1_protein.faa.named.faa	0.13	0.01	0.24	0.19	0.43
GCF_000455605.1_GPTSA100-9_protein.faa.named.faa	0.1	0.0	0.17	0.34	0.41
GCF_000012185.1_ASM1218v1_protein.faa.named.faa	0.2	0.01		0.43	0.23
GCF_000144605.1_ASM14460v1_protein.faa.named.faa	0.3	0.1	0.56	0.45	0.66
GCF_000800255.1_ASM80025v1_protein.faa.named.faa	0.01	0.03	0.33	0.37	0.67
GCF_000016365.1_ASM1636v1_protein.faa.named.faa	0.16	0.03	0.42	0.19	0.72
GCF_000166055.1_ASM16605v1_protein.faa.named.faa	0.15	0.1	0.51	0.73	0.64
GCF_000023765.2_ASM2376v2_protein.faa.named.faa	0.02	0.01	0.15	0.07	0.3
GCF_000807275.1_ASM80727v1_protein.faa.named.faa	0.21	0.05	0.18	0.06	0.35
